Human Flow^2017^Ai Weiwei^Israa Abboud, Hiba Abed, Rami Abu Sondos
Battle of the Sexes^2017^Jonathan Dayton^Emma Stone, Steve Carell, Andrea Riseborough
A Monster Calls^2017^J.A. Bayona^Lewis MacDougall, Sigourney Weaver, Felicity Jones
20th Century Women^2017^Mike Mills^Annette Bening, Elle Fanning, Greta Gerwig
I^Tonya^2017^S. Shankar^Vikram, Amy Jackson, Suresh Gopi
Raw^2017^Julia Ducournau^Garance Marillier, Ella Rumpf, Rabah Nait Oufella
Prevenge^2017^Alice Lowe^Gemma Whelan, Kate Dickie, Alice Lowe
The Lost City of Z^2017^James Gray^Charlie Hunnam, Robert Pattinson, Sienna Miller
Thelma^2017^Joachim Trier^Eili Harboe, Kaya Wilkins, Henrik Rafaelsen
Wind River^2017^Taylor Sheridan^Kelsey Asbille, Jeremy Renner, Julia Jones
Lady Macbeth^2017^William Oldroyd^Florence Pugh, Cosmo Jarvis, Paul Hilton
Their Finest^2017^Lone Scherfig^Gemma Arterton, Sam Claflin, Bill Nighy
Citizen Jane: Battle for the City^2017^Matt Tyrnauer^Thomas Campanella, Vincent DOnofrio, Mindy Fullilove
Girls Trip^2017^Malcolm D. Lee^Regina Hall, Queen Latifah, Jada Pinkett Smith
Endless Poetry (Poesía Sin Fin)^2017^Alejandro Jodorowsky^Adan Jodorowsky, Brontis Jodorowsky, Leandro Taub
Detroit^2017^Kathryn Bigelow^John Boyega, Anthony Mackie, Algee Smith
Frantz^2017^François Ozon^Pierre Niney, Paula Beer, Ernst St\xc3\xb6tzner
The Breadwinner^2017^Nora Twomey^Saara Chaudry, Soma Chhaya, Noorin Gulamgaus
Abacus: Small Enough to Jail^2017^Steve James^Neil Barofsky, Ti-Hua Chang, Margaret Colin
Brawl in Cell Block 99^2017^S. Craig Zahler^Vince Vaughn, Jennifer Carpenter, Don Johnson
Silence^2017^Martin Scorsese^Andrew Garfield, Adam Driver, Liam Neeson
Maudie^2017^Aisling Walsh^Sally Hawkins, Ethan Hawke, Zachary Bennett
All This Panic^2017^Jenny Gage^Dusty Rose Ryan, Delia Cunningham, Lena M.
Okja^2017^Joon-ho Bong^Tilda Swinton, Paul Dano, Seo-hyun Ahn
School Life^2017^Neasa Ní Chianáin^
Gook^2017^Justin Chon^Simone Baker, Justin Chon, Curtiss Cook Jr.
Clash (Eshtebak)^2017^Mohamed Diab^Nelly Karim, Hani Adel, El Sebaii Mohamed
Land of Mine (Under Sandet)^2017^Martin Zandvliet^Roland M\xc3\xb8ller, Louis Hofmann, Joel Basman
Only the Brave^2017^Joseph Kosinski^Josh Brolin, Miles Teller, Jeff Bridges
Norman (Norman: The Moderate Rise and Tragic Fall of a New York Fixer)^2017^Joseph Cedar^Richard Gere, Lior Ashkenazi, Michael Sheen
Obit^2017^Brian Tolle^Anna Fenerty, Sandra Fish, Carl Holvick-Thomas
Phantom Thread^2017^Paul Thomas Anderson^Vicky Krieps, Daniel Day-Lewis, Lesley Manville
Marjorie Prime^2017^Michael Almereyda^Stephanie Andujar, Hana Colley, Geena Davis
The Founder^2017^John Lee Hancock^Michael Keaton, Nick Offerman, John Carroll Lynch
Moonlight^2016^Barry Jenkins^Mahershala Ali, Shariff Earp, Duan Sanderson
Zootopia^2016^Byron Howard^Ginnifer Goodwin, Jason Bateman, Idris Elba
Arrival^2016^Denis Villeneuve^Amy Adams, Jeremy Renner, Forest Whitaker
La La Land^2016^Damien Chazelle^Ryan Gosling, Emma Stone, Rosemarie DeWitt
The Jungle Book^2016^Jon Favreau^Neel Sethi, Bill Murray, Ben Kingsley
Hell or High Water^2016^David Mackenzie^Chris Pine, Ben Foster, Jeff Bridges
Manchester by the Sea^2016^Kenneth Lonergan^Casey Affleck, Michelle Williams, Kyle Chandler
Finding Dory^2016^Andrew Stanton^Ellen DeGeneres, Albert Brooks, Ed ONeill
Captain America: Civil War^2016^Anthony Russo^Chris Evans, Robert Downey Jr., Scarlett Johansson
Moana^2016^Ron Clements^Aulii Cravalho, Dwayne Johnson, Rachel House
